N,p,lag,cap,K,short,scheme,CAGR,vol,Sharpe,MDD,Calmar
189,0.3,1,4,1,0.0,LP,0.2581305305396071,0.46447462627368286,0.7288449535438881,-0.6277578363349348,0.41119443772563885
126,0.3,1,4,2,0.0,LP,0.252441572497736,0.4490422536249123,0.727969972803009,-0.6056386037427317,0.4168188271647398
210,0.2,2,4,2,0.0,LP,0.29440937942828627,0.6194519966412375,0.7279327436956168,-0.721400344637263,0.4081081768491838
210,0.3,1,2,1,0.0,LP,0.18935072179886459,0.3014658894003092,0.7269900118824696,-0.43623851211855136,0.43405319919899
210,0.2,1,3,1,0.0,LP,0.27230147442391384,0.5318831483847999,0.7269736716163564,-0.6683274195835636,0.4074372327766913
210,0.4,1,3,1,0.0,LP,0.1903129834841133,0.3038739770526642,0.7263846534094588,-0.47159337561399006,0.40355313141609694
210,0.2,2,3,2,0.0,LP,0.2719903943724311,0.5164834148358677,0.7259433293017318,-0.6292378183632485,0.4322537305210342
273,0.3,1,2,4,0.0,LP,0.16113305602684913,0.2486589332391579,0.725776289721816,-0.42063080520209806,0.3830747868060459
147,0.4,1,3,1,0.0,LP,0.19302467560515746,0.31073486607710277,0.7247215484284245,-0.479121949768205,0.4028717024935741
126,0.2,0,3,2,0.0,LP,0.2537953416294729,0.4590960142146035,0.7246388007452909,-0.6345281662132679,0.39997490283854653
210,0.4,1,4,1,0.0,LP,0.21202779431467045,0.3512231101553568,0.7243319597774556,-0.4898726095524636,0.43282230967837576
210,0.2,1,2,1,0.0,LP,0.23255974830770798,0.40210566781701357,0.7243259609560765,-0.547004741846423,0.42515124735975585
147,0.4,1,3,2,0.0,LP,0.17288677263968233,0.2720397336733516,0.7236122875621432,-0.43047662811062015,0.4016170945179755
126,0.2,0,4,2,0.0,LP,0.27037138667575067,0.5200341427973588,0.7236097020558202,-0.6654616564270301,0.40629145806449285
189,0.2,1,4,2,0.0,LP,0.27773747752421785,0.6405090079000061,0.7235768661402616,-0.7981269420039139,0.3479865957498975
